ID	Quote	Label
1	To be fully alive, fully human, and completely awake is to be continually thrown out of the nest.	
2	Loss is nothing else but change,and change is Natures delight.	
3	Follow your instincts. That is where true wisdom manifests itself.	
4	It's simple, if it jiggles, it's fat.	
5	We should all be thankful for those people who rekindle the inner spirit.	
6	The future belongs to those who believe in the beauty of their dreams.	
7	Example has more followers than reason.	
8	Chaos and Order are not enemies, only opposites.	
9	He who knows that enough is enough will always have enough.	
10	Today, give a stranger a smile without waiting for it may be the joy they need to have a great day.	
11	The only real mistake is the one from which we learn nothing.	
12	Formula for success: under promise and over deliver.	
13	Ability is what you're capable of doing. Motivation determines what you do.Attitude determines how well you do it.	
14	Being in humaneness is good. If we select other goodness and thus are far apart from humaneness, how can we be the wise?	
15	This is the final test of a gentleman: his respect for those who can be of no possible value to him.	
16	As an organizer I start from where the world is, as it is, not as I would like it to be.	
17	Keep yourself to the sunshine and you cannot see the shadow.	
18	When you doubt your power, you give power to your doubt.	
19	The greatest remedy for anger is delay.	
20	Don't frown because you never know who is falling in love with your smile.	
21	If you seek truth you will not seek victory by dishonourable means, and if you find truth you will become invincible.	
22	I believe that every person is born with talent.	
23	If we could see the miracle of a single flower clearly, our whole life would change.	
24	As the rest of the world is walking out the door, your best friends are the ones walking in.	
25	We are all inclined to judge ourselves by our ideals; others, by their acts.	
26	One who is too insistent on his own views, finds few to agree with him.	
27	Don't cry because it's over. Smile because it happened.	
28	To succeed, we must first believe that we can.	
29	The least movement is of importance to all nature. The entire ocean is affected by a pebble.	
30	Turn your face toward the sun and the shadows will fall behind you.	
31	The spirit, the will to win, and the will to excel, are the things that endure. These qualities are so much more important than the events that occur.	
32	Be miserable. Or motivate yourself. Whatever has to be done, it's always your choice.	
33	Failure is not an option. Everyone has to succeed.	
34	When deeds speak, words are nothing.	
35	Sometimes by losing a battle you find a new way to win the war.	
36	A friend is someone who understands your past, believes in your future, and accepts you just the way you are.	
37	The exercise of an extraordinary gift is the supremest pleasure in life.	
38	Everything in life is luck.	
39	The meaning I picked, the one that changed my life: Overcome fear, behold wonder.	
40	If you don't design your own life plan, chances are you'll fall into someone else's plan. And guess what they have planned for you? Not much.	
41	The best way out is always through.	
42	Appreciation is the highest form of prayer, for it acknowledges the presence of good wherever you shine the light of your thankful thoughts.	
43	There is only one corner of the universe you can be certain of improving, and that's your own self.	
44	The most formidable weapon against errors of every kind is reason.	
45	If A is success in life, then A equals x plus y plus z. Work is x; y is play; and z is keeping your mouth shut.	
46	Never doubt that a small group of thoughtful, committed people can change the world. Indeed. It is the only thing that ever has.	
47	Peace cannot be kept by force. It can only be achieved by understanding.	
48	He is a wise man who does not grieve for the things which he has not, but rejoices for those which he has.	
49	We all live with the objective of being happy; our lives are all different and yet the same.	
50	Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.	
51	There is nothing in a caterpillar that tells you it's going to be a butterfly.	
52	What you are is what you have been. What you'll be is what you do now.	
53	The reason most goals are not achieved is that we spend our time doing second things first.	
54	To know your purpose is to live a life of direction, and in that direction is found peace and tranquillity.	
55	Live through feeling and you will live through love. For feeling is the language of the soul, and feeling is truth.	
56	Not every difficult and dangerous thing is suitable for training, but only that which is conducive to success in achieving the object of our effort.	
57	The truth you believe and cling to makes you unavailable to hear anything new.	
58	Well done is better than well said.	
59	Don't be afraid to go out on a limb. That's where the fruit is.	
60	Man is not sum of what he has already, but rather the sum of what he does not yet have, of what he could have.	
61	Bodily exercise, when compulsory, does no harm to the body; but knowledge which is acquired under compulsion obtains no hold on the mind.	
62	Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.	
63	The Superior Man is aware of Righteousness, the inferior man is aware of advantage.	
64	You can be what you want to be. You have the power within and we will help you always.	
65	Bite off more than you can chew, then chew it.	
66	A man of ability and the desire to accomplish something can do anything.	
67	Put your future in good hands, your own.	
68	If you'll not settle for anything less than your best, you will be amazed at what you can accomplish in your lives.	
69	The most beautiful things in the world cannot be seen or even touched. They must be felt with the heart.	
70	I am not afraid of tomorrow, for I have seen yesterday and I love today.	
71	Strength to carry on despite the odds means you have faith in your own abilities and know how.	
72	It is difficult to achieve a spirit of genuine cooperation as long as people remain indifferent to the feelings and happiness of others.	
73	Fear is a darkroom where negatives develop.	
74	The biggest adventure you can ever take is to live the life of your dreams.	
75	Don't leave a stone unturned. It's always something, to know you have done the most you could.	
76	Aim for success, not perfection. Never give up your right to be wrong, because then you will lose the ability to learn new things and move forward with your life.	
77	The greatest part of our happiness depends on our dispositions, not our circumstances.	
78	Most people are about as happy as they make up their minds to be	
79	I may not know everything, but everything is not known yet anyway.	
80	Don't smother each other. No one can grow in the shade.	
81	Remember that sometimes not getting what you want is a wonderful stroke of luck.	
82	Iron rusts from disuse; water loses its purity from stagnation... even so does inaction sap the vigour of the mind.	
83	Do not waste yourself in rejection, nor bark against the bad, but chant the beauty of the good.	
84	You really can change the world if you care enough.	
85	Through pride we are ever deceiving ourselves. But deep down below the surface of the average conscience a still, small voice says to us, Something is out of tune.	
86	One today is worth two tomorrows.	
87	The greatest minds are capable of the greatest vices as well as of the greatest virtues.	
88	Life is a gift, and it offers us the privilege, opportunity, and responsibility to give something back by becoming more	
89	How many cares one loses when one decides not to be something but to be someone.	
90	When we quit thinking primarily about ourselves and our own self-preservation, we undergo a truly heroic transformation of consciousness.	
91	Before you can inspire with emotion, you must be swamped with it yourself. Before you can move their tears, your own must flow. To convince them, you must yourself believe.	
92	He who knows himself is enlightened.	
93	When we feel love and kindness toward others, it not only makes others feel loved and cared for, but it helps us also to develop inner happiness and peace.	
94	Lose an hour in the morning, and you will spend all day looking for it.	
95	We must not allow ourselves to become like the system we oppose.	
96	Bad times have a scientific value. These are occasions a good learner would not miss.	
97	Do more than dream: work.	
98	Courage is not about taking risks unknowingly but putting your own being in front of challenges that others may not be able to.	
99	Nature is a mutable cloud which is always and never the same.	
100	You can't trust without risk but neither can you live in a cocoon.	
101	When you are offended at any man's fault, turn to yourself and study your own failings. Then you will forget your anger.	
102	You give before you get.	
103	Time you enjoy wasting, was not wasted.	
104	Wisdom is the supreme part of happiness.	
105	When people are like each other they tend to like each other.	
106	We must learn our limits. We are all something, but none of us are everything.	
107	I endeavour to be wise when I cannot be merry, easy when I cannot be glad, content with what cannot be mended and patient when there is no redress.	
108	Light tomorrow with today!	
109	Don't let today's disappointments cast a shadow on tomorrow's dreams.	
110	Anybody can make history. Only a great man can write it.	
111	Leaders aren't born they are made. And they are made just like anything else, through hard work. And that's the price well have to pay to achieve that goal, or any goal.	
112	A stumble may prevent a fall.	
113	Who we are never changes. Who we think we are does.	
114	Most of the shadows of life are caused by standing in our own sunshine.	
115	When you see a man of worth, think of how you may emulate him. When you see one who is unworthy, examine yourself.	
116	It isn't where you come from, it's where you're going that counts.	
117	The greatest good you can do for another is not just to share your riches but to reveal to him his own.	
118	The reasonable man adapts himself to the world; the unreasonable man persists in trying to adapt the world to himself. Therefore, all progress depends on the unreasonable man.	
119	Courage is going from failure to failure without losing enthusiasm.	
120	Love at first sight is easy to understand; its when two people have been looking at each other for a lifetime that it becomes a miracle.	
121	A little knowledge that acts is worth infinitely more than much knowledge that is idle.	
122	I would maintain that thanks are the highest form of thought, and that gratitude is happiness doubled by wonder.	
123	The greatest barrier to success is the fear of failure.	
124	Don't miss all the beautiful colors of the rainbow looking for that pot of gold.	
125	Bodybuilding is much like any other sport. To be successful, you must dedicate yourself 100% to your training, diet and mental approach.	
126	Be like the flower, turn your face to the sun.	
127	Let me tell you the secret that has led me to my goal: my strength lies solely in my tenacity.	
128	Learn all you can from the mistakes of others. You won't have time to make them all yourself.	
129	In skating over thin ice our safety is in our speed.	
130	Your mind will answer most questions if you learn to relax and wait for the answer.	
131	A man is not where he lives but where he loves.	
132	Imagination is the living power and prime agent of all human perception.	
133	First say to yourself what you would be; and then do what you have to do.	
134	If one does not know to which port is sailing, no wind is favorable.	
135	The greatest pleasure I know is to do a good action by stealth, and to have it found out by accident.	
136	You can't let praise or criticism get to you. It's a weakness to get caught up in either one.	
137	Each misfortune you encounter will carry in it the seed of tomorrows good luck.	
138	Life shrinks or expands in proportion to one's courage.	
139	Fame usually comes to those who are thinking about something else.	
140	What lies behind us and what lies before us are tiny matters compared to what lies within us.	
141	No one saves us but ourselves. No one can and no one may. We ourselves must walk the path.	
142	Failure will never overtake me if my determination to succeed is strong enough.	
143	Life is a progress, and not a station.	
144	The worst bankrupt in the world is the person who has lost his enthusiasm.	
145	We shall never know all the good that a simple smile can do.	
146	You were not born a winner, and you were not born a loser. You are what you make yourself be.	
147	I will not be concerned at other men is not knowing me;I will be concerned at my own want of ability.	
148	You cannot be lonely if you like the person you're alone with.	
149	The truth is always exciting. Speak it, then. Life is dull without it.	
150	The winds and waves are always on the side of the ablest navigators.	
151	Genuine love should first be directed at oneself. if we do not love ourselves, how can we love others?	
152	It is surprising what a man can do when he has to, and how little most men will do when they don't have to.	
153	Your work is to discover your world and then with all your heart give yourself to it.	
